AI GTM Platform Development Plan,,,,,,,,,,,,,,,,,
SETUP,Date,Day,Module,Task Name,Task Description,Acceptance Criteria,Assigned To,Status,Completed On,Blockers / Notes,,,,,,,
13,17-Jun-26,Day 3,Dashboard,Sidebar Navigation,"Build collapsible sidebar with links to: Get Data, Campaigns, CRM, Analytics, Settings, Admin (admin-only). Active state highlighting. Logo / brand area at top.",All nav links render. Clicking routes to correct page. Admin link only visible to admin role.,Raj,? Done, 19/06/2026, ,,,,,,,
14,17-Jun-26,Day 3,Dashboard,Header & Profile Section,"Build top header bar with page title, user avatar/initials, notification bell icon (placeholder), and profile dropdown with 'My Account' and 'Logout' options.",Header renders on all pages. Logout clears tokens and redirects to /login.,Raj,? Done, 19/06/2026, ,,,,,,,
15,17-Jun-26,Day 3,Dashboard,Dashboard Stats Cards,"Build 4 summary cards on the /dashboard home: Total Leads, Active Campaigns, Calls Made Today, Meetings Booked. Cards show placeholder values; will connect to live API later.","4 cards rendered with icons, labels and placeholder numbers. Responsive on tablet/desktop.",Raj,? Done, 19/06/2026, ,,,,,,,
16,17-Jun-26,Day 3,Dashboard,Responsive Layout & Routing,"Ensure layout adapts to desktop (sidebar open), tablet (sidebar collapsed), and mobile (hamburger menu). Set up React Router routes for all pages with correct layouts.",Sidebar collapses on tablet. Hamburger works on mobile. All routes load correct components without 404.,Raj,? Done, 19/06/2026, ,,,,,,,
17,18-Jun-26,Day 4,Database,Core Schema — Users & Auth,"Create Alembic migration for: users (id, email, hashed_password, role, created_at), refresh_tokens (token_hash, user_id, expires_at, revoked).","Migration runs without error. Tables created with correct columns, types and constraints.",Ammar,? Done, 22/06/2026, ,,,,,,,
18,18-Jun-26,Day 4,Database,Schema — Connected Accounts,"Create connected_accounts table: (id, user_id FK, integration_name ENUM, credentials_encrypted TEXT, status ENUM[connected/disconnected/expired], connected_at, updated_at).",Table created. Credentials column is encrypted (not plain text). One row per integration per user.,Ammar,? Done, 22/06/2026, ,,,,,,,
19,18-Jun-26,Day 4,Database,Schema — Leads,"Create leads table: (id, user_id FK, name, company, designation, email, phone, linkedin_url, website, location, lead_score, source ENUM[scraped/apollo/uploaded], tags[], status, created_at, updated_at).",Table and indexes created. Source enum covers all three origins. Status column supports lead lifecycle values.,Raj,? Done, 19/06/2026, ,,,,,,,
20,18-Jun-26,Day 4,Database,"Schema — Campaigns, Calls, Emails, LinkedIn","Create campaigns (id, user_id, channel ENUM, niche ENUM, status, vapi_assistant_id, created_at), calls (id, campaign_id, lead_id, recording_url, transcript, outcome, duration, called_at), emails (id, campaign_id, lead_id, subject, body, reply_body, status, sent_at), linkedin_messages (id, campaign_id, lead_id, message, status, sent_at).",All 4 tables created with FK relationships. Indexes on campaign_id and lead_id.,Ammar,? To Do, , ,,,,,,,
21,18-Jun-26,Day 4,Database,"Schema — Vapi Assistants, Recordings, Transcripts, Analytics","Create vapi_assistants (id, campaign_id FK, vapi_id, config_json, status ENUM[active/archived]), recordings (id, call_id, storage_url, duration), transcripts (id, call_id, text, created_at), analytics_events (id, user_id, campaign_id, event_type, event_data JSON, created_at).",All tables created. vapi_assistants.status supports active/archived. Cascade deletes configured appropriately.,Ammar,? To Do, , ,,,,,,,
22,19-Jun-26,Day 5,Settings,Connected Accounts UI Page,"Build Settings > Connected Accounts page listing all 9 integrations: Twilio, Email (Gmail/Outlook), Calendar, Google Maps, Apify, Uniple, Apollo.io, Hunter.io, LinkedIn. Each shows integration name, logo, description, status badge (Connected/Not Connected/Expired), and a Connect/Disconnect button.",Page renders all 9 integrations. Status badges reflect DB state. Disconnected integrations show 'Connect' button; connected ones show 'Disconnect'.,Raj,? Done, 19/06/2026, ,,,,,,,
23,19-Jun-26,Day 5,Settings,API Key Entry & Encryption,"For API-key integrations (Twilio, Maps, Apify, Uniple, Apollo.io, Hunter.io): build modal with secure input field, call POST /api/v1/settings/integrations/{name} to save. Backend encrypts value (AES-256) before storing in connected_accounts table.",API key saved. Key value is AES-encrypted in DB (not readable as plain text). Status changes to 'Connected'.,Ammar,? Done, , ,,,,,,,
24,19-Jun-26,Day 5,Settings,OAuth Flow — Email & Calendar,Implement OAuth 2.0 authorization code flow for Gmail/Outlook and Google Calendar. Backend exchanges code for access+refresh tokens and stores encrypted. Handle token refresh automatically.,"User can click 'Connect Gmail', authorize in Google popup, return to app showing 'Connected'. Token refreshes automatically without re-auth.",Ammar,? Done, , ,,,,,,,
25,19-Jun-26,Day 5,Settings,OAuth Flow — LinkedIn,"Implement LinkedIn OAuth 2.0 for the LinkedIn integration. Request required scopes (r_liteprofile, w_member_social). Store tokens encrypted per user.",User can connect LinkedIn account. Scopes granted. Token stored and status shows 'Connected'.,Ammar,? To Do, , ,,,,,,,
26,19-Jun-26,Day 5,Settings,Integration Status Gating,"Implement middleware/frontend logic that checks required integration status before allowing a dependent action. E.g., if user tries to start Call Campaign without Twilio connected, show a warning banner linking to Settings.",Attempting call campaign without Twilio shows warning. Attempting email campaign without email connected shows warning. Warning links to Settings page.,Raj,? To Do, , ,,,,,,,
27,20-Jun-26,Day 6,Get Data,Natural Language Search UI,"Build Get Data page with: large search input (placeholder: 'Find 50 AI founders with 5+ employees in Hyderabad'), search history list (last 10 queries), quick-filter chips for industry/location, and a results panel that will stream leads.",Search bar renders. Typing and submitting a query fires to backend. Search history saves to localStorage and renders below input.,Raj,? Done,19/06/2026, ,,,,,,,
28,22-Jun-26,Day 7,Get Data,Query Understanding Engine (NLP Parser),"Build AI-powered query parser (call Claude/GPT API or custom NLP) that takes natural language input and returns structured JSON: {industry, designation, years_exp, location, company_size, employee_count, limit}. Cache parsed results.",Input 'Find 50 AI founders in Hyderabad with 50+ employees' returns correct structured JSON. Edge cases handled (missing fields default to null).,Ammar,? Done,19/06/2026, ,,,,,,,
29,23-Jun-26,Day 8,Get Data,Apollo.io Integration Setup,Integrate Apollo.io API using user's stored API key. Build ApolloService with methods: search_people(filters) and get_person(id). Handle rate limits and errors gracefully.,ApolloService.search_people returns results for a test query using the user's connected API key. 401/429 errors handled and surfaced to UI.,Ammar,? To Do, ,Waiting for the paid api of apollo.io,,,,,,,
30,24-Jun-26,Day 9,Get Data,Apollo Lead Extraction & Mapping,"Parse Apollo API response and map to internal lead schema: name, company, designation, linkedin_url, email, company_details (size, industry, website). Handle missing fields gracefully.",Apollo response mapped to lead schema. Missing fields stored as null (not crash). 10 sample leads stored in DB correctly.,Ammar,? To Do, ,Waiting for the paid api of apollo.io,,,,,,,
31,25-Jun-26,Day 10,Get Data,Hunter.io Integration — Email Enrichment,"Integrate Hunter.io API using user's stored API key. For leads missing email, call Hunter domain-search or email-finder API to attempt enrichment. Append result to lead profile.",Lead with missing email gets enriched via Hunter. Hunter result appended to lead record. API errors handled gracefully.,Ammar,? To Do, ,Paid API Hunter.io,,,,,,,
32,26-Jun-26,Day 11,Get Data,Google Maps / Places Integration,"Integrate Google Places API using user's connected Maps API key. Search for local businesses by query + location. Extract business name, phone, website, address, rating. Map to lead schema.","Maps search returns business results for a test query. Name, phone, website, address extracted and stored as leads with source='maps'.",Raj,? Done,23/06/2026, ,,,,,,,
33,27-Jun-26,Day 12,Get Data,Website Scraper — Apify / Uniple,"Build scraping service that takes a company website URL, calls Apify or Uniple API (using user's stored key), and extracts: phone numbers, emails, social links, contact page info. Return structured result.",Scraper returns contact info for 3 test company URLs. Data appended to lead profile. Apify/Uniple errors handled.,Ammar,? To Do, ,"Apify, Unipile paid api",,,,,,,
46,10-Jul-26,Day 23,Campaigns,Script Editor UI,Display generated script in a rich text editor (TipTap or Quill). Allow user to edit any section. 'Regenerate' button to get a new AI version. 'Save & Continue' stores final script.,Script renders in editor. Edits are preserved on save. Regenerate button fetches new script from API. Final script stored.,Raj,? To Do, , ,,,,,,,
47,11-Jul-26,Day 24,Call Campaign,Voice Selection UI,"For Call campaigns: build voice configuration step. Options: voice type (male/female/neutral), language (EN/HI/other), accent, speaking speed, tone. Selections stored in campaign.voice_config.",Voice config UI renders for call campaigns only. All options selectable. Config stored in campaign record.,Raj,? To Do, , ,,,,,,,
48,11-Jul-26,Day 24,Call Campaign,Vapi Assistant Provisioning,"Backend service: on call campaign creation, call Vapi API to create a new assistant using the generated prompt + voice config. Store returned vapi_assistant_id in vapi_assistants table. One assistant per campaign — do not reuse across campaigns.","POST to Vapi creates assistant. vapi_assistant_id stored in DB. Platform supports up to 500 assistants (not hard-coded limit check required, but architecture must support this scale).",Ammar,? To Do, , ,,,,,,,
49,13-Jul-26,Day 25,Call Campaign,Campaign Builder — Final Review & Launch,"Campaign summary screen showing: channel, niche, lead list (count), script excerpt, voice config, Vapi assistant ID, launch mode (Immediate / Scheduled). 'Launch Campaign' button triggers campaign activation.",Summary screen shows all campaign details. Immediate launch starts calling queue. Scheduled launch shows date/time picker. Campaign status changes to 'Active' on launch.,Raj,? To Do, , ,,,,,,,
50,14-Jul-26,Day 26,Call Campaign,Calling Queue Manager,"Build queue system (Redis/Celery or similar) that takes campaign lead list and dispatches calls to Vapi via Twilio. Implement rate limiting (max N concurrent calls), retry logic (up to 3 attempts per lead), and pause/resume controls.",Queue processes leads. Max concurrent calls respected. Failed calls retry up to 3 times. Campaign can be paused and resumed.,Ammar,? To Do, , ,,,,,,,
51,15-Jul-26,Day 27,Call Campaign,Twilio + Vapi Integration,"Wire Vapi assistant calls through user's connected Twilio account. Calls should originate from the user's Twilio phone number. Handle webhooks from Twilio for call status events (initiated, answered, completed, failed).",Test call placed via user's Twilio number using Vapi assistant. Call status events received via webhook and stored in calls table.,Ammar,? To Do, , ,,,,,,,
52,16-Jul-26,Day 28,Call Campaign,Call Scheduling System,Allow 'Schedule for Later' option: datetime picker with timezone selection. Store scheduled_at on campaign. Background scheduler (APScheduler or Celery Beat) triggers queue at specified time.,Campaign set to schedule at future time starts calling at that time. Timezone stored and respected. Scheduler survives backend restart.,Ammar,? To Do, , ,,,,,,,
53,17-Jul-26,Day 29,Call Campaign,Call Recording Storage,"Capture recording URL from Vapi/Twilio webhook, download to secure storage (S3 or equivalent), store storage_url in recordings table mapped to call_id and campaign_id. Recordings accessible only to the campaign owner.","Post-call, recording appears in call record. Storage URL resolves to audio file. Access gated by user ownership check.",Ammar,? To Do, , ,,,,,,,
54,18-Jul-26,Day 30,Call Campaign,Transcript Processing & Storage,Get transcript from Vapi webhook or poll Vapi transcript API post-call. Parse transcript into structured format (speaker turns). Store in transcripts table. Display transcript in call detail view.,Transcript available in call record after call ends. Speaker turns identified. Transcript visible in call detail UI.,Ammar,? To Do, , ,,,,,,,
55,20-Jul-26,Day 31A,Email Campaign,Email Campaign Sending Engine,"Backend service: iterate over campaign lead list, personalize email template per lead (merge first name, company name into template), send via connected email account (Gmail/Outlook OAuth). Respect send-rate limits (e.g., max 50/hour for Gmail).",Campaign sends personalized emails to leads. Rate limiting applied. Sent status recorded per lead in emails table.,Raj,? Done,27/06/2026, ,,,,,,,
56,20-Jul-26,Day 31A,Email Campaign,In-Platform Inbox View,"Build Inbox page that loads emails from the user's connected email account (via Gmail/Outlook API). Display received emails with sender, subject, date, preview. Filter to show only replies to campaign emails.",Inbox renders emails from connected account. Campaign-related replies highlighted. Clicking email shows full thread.,Raj,? Done,27/06/2026, ,,,,,,,
57,20-Jul-26,Day 31A,Email Campaign,Reply-to-Lead Association,"When a reply arrives in the connected inbox, match it to the originating lead and campaign by Message-ID or sender email. Update emails table with reply_body and change lead status based on content.",Inbound reply linked to correct lead and campaign. Reply content visible in lead CRM timeline. Lead status updated.,Ammar,? Done, , ,,,,,,,
58,21-Jul-26,Day 32A,LinkedIn,LinkedIn Outreach Engine,Build LinkedIn campaign engine that sends connection requests or InMail messages (via user's connected LinkedIn OAuth) using the generated niche template. Personalize per lead's name and company.,Connection requests / InMails sent to leads. Sent status recorded. LinkedIn API errors handled without crashing campaign.,Ammar,? To Do, , ,,,,,,,
59,21-Jul-26,Day 32A,LinkedIn,LinkedIn Engagement Tracking & Rate Limiting,"Poll LinkedIn API for connection acceptance and message replies. Update CRM lead status on engagement. Enforce LinkedIn rate limits (e.g., max 100 connection requests/week) per connected account to reduce restriction risk.",Accepted connections and replies reflected in CRM. Rate limit counter tracked per user account. Warning shown when approaching limit.,Ammar,? To Do, , ,,,,,,,
60,21-Jul-26,Day 32,CRM,CRM Lead Detail View,"Build CRM lead detail page showing: lead profile (all fields), cross-channel communication timeline (calls, emails, LinkedIn messages in chronological order), campaign associations, current status, and follow-up tasks.",Lead detail page loads with correct data. Timeline shows all touchpoints across channels. Current status displayed with last updated timestamp.,Raj,? To Do, , ,,,,,,,
61,21-Jul-26,Day 32,CRM,Lead Status Automation Engine,"Implement auto-classification service: analyze call transcripts (keyword matching + sentiment or LLM), email reply content, and LinkedIn responses to classify lead as: Interested / Not Interested / Callback Requested / Meeting Booked / No Answer / Closed. Update lead.status automatically.","After call completes, status auto-classified from transcript. After email reply received, status updated from content. Manual override also possible.",Ammar,? To Do, , ,,,,,,,
62,21-Jul-26,Day 32,CRM,Post-Campaign Auto-Routing,"Implement post-campaign workflow: Interested/Meeting Booked ? hot lead queue + CRM task. No Answer/Callback ? retry queue (max 3 attempts, cooldown). Not Interested ? suppressed. Meeting Booked + Calendar connected ? auto-create calendar event.",Interested leads appear in hot lead queue. No answer leads re-queued with correct cooldown. Not interested leads suppressed. Calendar event created when calendar is connected.,Ammar,? To Do, , ,,,,,,,
63,21-Jul-26,Day 32,CRM,Follow-Up Auto-Enrollment,"Leads classified as Interested or Callback Requested are automatically enrolled into a Follow-up niche campaign on a configurable alternate channel (e.g., call lead ? try email next). Allow user to configure this preference in Settings.",Interested lead automatically enrolled in follow-up campaign. Channel escalation path configurable. User notified of auto-enrollment.,Ammar,? To Do, , ,,,,,,,
64,22-Jul-26,Day 33,Analytics,Analytics Dashboard,"Build analytics page with charts: (1) Call volume over time (line), (2) Conversion rate by campaign (bar), (3) Lead status breakdown (pie/donut), (4) Channel performance comparison (Call vs Email vs LinkedIn). All charts filterable by date range and campaign.",All 4 charts render with real data. Date range filter updates charts. Per-campaign filter works.,Raj,? To Do, , ,,,,,,,
65,23-Jul-26,Day 34,Reporting,Campaign Performance Report (PDF/Excel),"Generate downloadable report per campaign: total leads contacted, connected/answered rate, outcome breakdown, conversion rate, cost per meeting booked (if Twilio cost data available). Export as PDF (styled) and Excel (raw data).",PDF report downloads with correct campaign data. Excel file has correct columns and rows. Reports generated within 10 seconds for campaigns up to 1000 leads.,Ammar,? To Do, , ,,,,,,,
66,24-Jul-26,Day 35,Notifications,Notifications System,"Build notification service: in-app notifications (bell icon) + optional email notifications for: Campaign completed, Meeting booked, New email reply received, Lead status changed to Interested. Mark-as-read functionality.",Bell icon shows unread count. Clicking shows notification list. Campaign complete and meeting booked events trigger notifications. Mark all as read works.,Raj,? To Do, , ,,,,,,,
67,24-Jul-26,Day 35,Reporting,Re-Engagement Scheduling,Not Interested / Closed leads enter 90-day suppression window stored in lead.reengagement_eligible_at. Background job runs daily to move eligible leads back to 'Ready to Contact' status and optionally notify the user.,"Not Interested lead has reengagement_eligible_at = now + 90 days. After 90 days, lead status updates to 'Ready to Contact'. User notified.",Ammar,? To Do, , ,,,,,,,
68,25-Jul-26,Day 36,LinkedIn Campaign,LinkedIn Campaign Database Schema,"Design database tables for LinkedIn posts, campaigns, templates, images, schedules, and analytics. Create relationships between campaigns, posts, and generated images. Set up migrations.","Tables created: linkedin_campaigns, linkedin_posts, post_images, post_templates, post_schedules, post_analytics. Migrations run successfully.",Ammar,? Done, , ,,,,,,,
69,25-Jul-26,Day 36,LinkedIn Campaign,LinkedIn API Integration Setup,"Set up LinkedIn API OAuth2 authentication flow. Configure app credentials, permissions (w_member_social, r_liteprofile). Create token management service for refresh tokens.",OAuth2 flow works end-to-end. User can connect LinkedIn account. Tokens stored securely and refresh automatically.,Raj,? Done,25/06/2026, ,,,,,,,
70,26-Jul-26,Day 37,LinkedIn Campaign,AI Image Generation Service,"Integrate AI image generation API (DALL-E 3 / Stable Diffusion). Create image generation service with prompt engineering for professional LinkedIn-style images. Support multiple aspect ratios (1:1, 1.91:1, 4:5).",API integrated. Service generates images from text prompts. Images are LinkedIn-optimized. Multiple sizes supported.,Raj,? Done,25/06/2026, ,,,,,,,
71,26-Jul-26,Day 37,LinkedIn Campaign,Image Template System,"Create branded image template system. Support company logo overlay, text overlays, brand colors, and preset layouts (announcement, quote, infographic, carousel frames).",Templates library available. User can apply brand elements. Generated images include customizable text overlays.,Ammar,? Done,26/06/2026, ,,,,,,,
72,27-Jul-26,Day 38,LinkedIn Campaign,AI Post Content Generator,"Build AI-powered post content generator using LLM. Support different post types (thought leadership, product announcement, company update, engagement post). Include hashtag suggestions and emoji recommendations.","AI generates post content based on topic/type. Hashtags auto-suggested. Content follows LinkedIn best practices (hook, value, CTA).",Raj,? Done,26/06/2026, ,,,,,,,
73,27-Jul-26,Day 38,LinkedIn Campaign,Post Editor UI,"Create rich post editor with real-time preview. Support text formatting, image attachment/preview, carousel builder, poll creation, and character count with optimal length indicator.",Editor shows LinkedIn-style preview. Image attachment works. Character counter shows optimal range. Carousel builder functional.,Ammar,? Done,26/06/2026, ,,,,,,,
74,28-Jul-26,Day 39,LinkedIn Campaign,Campaign Builder & Management,"Build campaign creation wizard: define campaign name, goals, target audience persona, content themes, posting frequency. Create campaign dashboard with post calendar view.",Campaign wizard guides user through setup. Dashboard shows all campaigns. Calendar view displays scheduled posts.,Ammar,? Done,26/06/2026, ,,,,,,,
75,28-Jul-26,Day 39,LinkedIn Campaign,Post Scheduling System,Implement post scheduling with timezone support. Create scheduling queue with best-time recommendations based on audience insights. Support recurring posts and bulk scheduling.,Posts can be scheduled for future. Timezone handling correct. Best-time suggestions shown. Bulk upload via CSV supported.,Raj,? Done,26/06/2026, ,,,,,,,
76,29-Jul-26,Day 40,LinkedIn Campaign,LinkedIn Publishing Service,"Build publishing service to post content via LinkedIn API. Handle image uploads, text posts, and multi-image carousels. Implement retry logic and error handling for API failures.",Posts publish successfully to LinkedIn. Images upload correctly. Carousels work. Failed posts retry automatically with notifications.,Raj,? Done,26/06/2026, ,,,,,,,
77,29-Jul-26,Day 40,LinkedIn Campaign,Post Analytics Dashboard,"Create analytics dashboard pulling data from LinkedIn API (impressions, clicks, engagement rate, comments, shares). Show performance by post type, time of day, and content theme.",Analytics sync from LinkedIn. Dashboard shows key metrics. Filtering by date range and post type works. Export to CSV available.,Ammar,? Done,26/06/2026, ,,,,,,,
78,31-Jul-26,Day 41,LinkedIn Campaign,Content Library & Reusability,"Build content library to save drafts, templates, and high-performing posts. Implement AI-powered content repurposing (turn blog to LinkedIn post, refresh old posts).",Drafts auto-save. Templates can be saved and reused. Top posts can be repurposed with AI suggestions.,Ammar,? Done,26/06/2026, ,,,,,,,
79,31-Jul-26,Day 41,LinkedIn Campaign,LinkedIn Module Testing & Integration,"End-to-end testing of LinkedIn module: OAuth flow, image generation, post creation, scheduling, publishing, and analytics. Fix bugs and optimize performance.",All LinkedIn features tested. No critical bugs. Image generation under 30s. Publishing success rate >99%.,Ammar & Raj,? To Do, , ,,,,,,,
80,1-Aug-26,Day 42,Admin,Admin Dashboard & User Management,"Build admin-only /admin section: user list (name, email, role, created date, status), ability to deactivate/reactivate users, view per-user campaign and lead counts.",Admin page accessible only with admin role. User list loads. Deactivate button disables user login. Stats per user visible.,Raj,? To Do, , ,,,,,,,
81,1-Aug-26,Day 42,Admin,API Key & Integration Monitoring,Admin view showing all users' integration connection statuses (not the keys themselves). Flag users with expired connections. Allow admin to send 'reconnect your account' notification.,Admin can see connection status per user per integration. Expired connections highlighted. Notification sent to user.,Ammar,? To Do, , ,,,,,,,
82,01-Aug-26,Day 42,Admin,Vapi Assistant Inventory,"Admin view of all provisioned Vapi assistants across all users: assistant ID, campaign name, user, status (active/archived), created date. Total count visible. Allows admin to archive active assistants manually.",Admin can see all Vapi assistants. Total count shown. Manual archive action works. No assistant count exceeds 500 (warning shown if approaching).,Ammar,? To Do, , ,,,,,,,
83,02-Aug-26,Day 43,Security,API Security — Rate Limiting & Auth,"Implement: (1) Rate limiting per IP and per user token (using slowapi or Redis), (2) CORS configuration for allowed origins, (3) HTTPS enforcement, (4) Input validation on all API endpoints (Pydantic), (5) SQL injection protection via ORM.",Rate limit triggers 429 after threshold. CORS blocks disallowed origins. All endpoints validate input — malformed requests return 422.,Ammar,? To Do, , ,,,,,,,
84,02-Aug-26,Day 43,Security,RBAC & Audit Logging,"Role-based access control verified on all sensitive endpoints. Create audit_log table (user_id, action, entity_type, entity_id, ip_address, timestamp). Log all write actions (create, update, delete) and auth events (login, failed login).","Non-admin cannot access admin endpoints (403). Audit log records are created for login, campaign creation, and lead deletion. Log viewable by admin.",Ammar,? To Do, , ,,,,,,,
85,03-Aug-26,Day 44,QA,Unit & Integration Tests,"Write unit tests for: query parser, lead enrichment merge logic, Vapi provisioning service, auto-classification engine. Write integration tests for: auth flow, full Get Data pipeline, call campaign launch.",Test suite runs without failures. Coverage ?70% on business-logic modules. CI pipeline passes.,Ammar & Raj,? To Do, , ,,,,,,,
86,03-Aug-26,Day 44,QA,End-to-End User Flow Testing,"Manually test full E2E flow: (1) Register/login, (2) Connect Twilio/Email/Apollo, (3) Run Get Data query, (4) Create Call campaign, (5) Launch campaign, (6) Review calls + CRM, (7) Download report. Document all bugs.",E2E flow completes without errors. All major user journeys documented and passing. Bug list created and prioritized.,Ammar & Raj,? To Do, , ,,,,,,,
87,03-Aug-26,Day 44,QA,Bug Fixes & Regression,Fix all High and Medium priority bugs found during E2E testing. Re-run test suite after fixes. Ensure no regressions introduced.,All High bugs resolved. Medium bugs resolved or deferred with documented justification. Regression suite passes.,Ammar & Raj,? To Do, , ,,,,,,,
88,04-Aug-26,Day 45,Deploy,Production Environment Setup,"Provision production server/cloud (VPS or cloud provider). Configure environment variables, SSL certificate, domain, reverse proxy (Nginx). Set up managed PostgreSQL and Redis. Configure S3 bucket for recordings.",Production environment accessible via HTTPS. SSL certificate valid. Services connected to production DB and storage.,Ammar,? To Do, , ,,,,,,,
89,04-Aug-26,Day 45,Deploy,CI/CD Pipeline & Deployment,Configure automated deployment pipeline: on merge to main ? run tests ? build Docker images ? push to registry ? deploy to production. Set up rollback mechanism.,Pipeline triggers on merge to main. Tests run and must pass before deploy. Rollback to previous version possible within 5 minutes.,Ammar,? To Do, , ,,,,,,,
90,04-Aug-26,Day 45,Deploy,Monitoring & Alerting Setup,"Set up application monitoring (Sentry for errors, or similar). Configure uptime monitoring. Set up alerts for: backend errors >1%/min, DB connection failures, queue backlog >500 items.",Sentry captures errors from production. Uptime monitor sends alert if down. Alert triggers for configured thresholds.,Raj,? To Do, , ,,,,,,,
91,05-Aug-26,Day 46,Documentation,Technical Documentation,"Write: (1) System architecture overview with diagrams, (2) Database schema documentation with ERD, (3) Environment setup guide for new developers, (4) Module-by-module codebase walkthrough.",Docs committed to /docs folder in repo. New developer can follow setup guide and run project locally without asking questions.,Ammar & Raj,? To Do, , ,,,,,,,
92,05-Aug-26,Day 46,Documentation,API Documentation,"Document all backend API endpoints using FastAPI auto-docs (Swagger/OpenAPI) + write a supplementary API guide covering: authentication flow, integration setup, campaign lifecycle, webhook payloads for Vapi/Twilio.",/docs endpoint returns up-to-date Swagger UI. All endpoints documented with request/response examples. Webhook payloads documented.,Ammar,? To Do, , ,,,,,,,
93,05-Aug-26,Day 46,Documentation,Deployment Guide & Handover,"Write production deployment guide covering: environment variable reference, Docker commands, DB migration steps, SSL setup, secrets management. Record a 30-min walkthrough video of the live system.",Deployment guide allows a new team member to deploy to production from scratch. Handover checklist completed and signed off.,Ammar & Raj,? To Do, , ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Day,Task,Detailed Description,Deliverables,,,,,,,,,,,,,
